Asset Name,Asset Code,Location Code,Category,Asset Description,Make,Model,Serial Number,Charge Department Code,Account Code,Supplier/Manufacturer Name,Supplier/Manufacturer Number,Manual RQD,Manual Found,Global,P&ID Doc Name,P&ID Page,P&ID Tag,Equipment,Equipment Voltage,Equipment Amps,Equipment Power,Equipment Fluid,Equipment Material of Construction,Equipment Diameter,Equipment Power Feed Location,Equipment Type,Lines,Line Fluid,Line Material of Construction,Line Diameter,Line From,Line To,Line Insulation,Line Design Pressure,Line Schedule,Line Flange Class,Valves,Valve Voltage,Valve Fluid,Valve Material of Construction,Valve Diameter,Valve Power Feed Location,Valve Seal Material,Valve Auto/Manual,Valve Type,Valve Actuator Type,Valve Connections Type,Valve Seat Material,Tanks,Tank Fluid,Tank Material of Construction,Tank Diameter,Tank Height,Tank Volume,Tank Working Volume,Tank Working Height,Tank Type,Instruments,Instrument Voltage,Instrument Fluid,Instrument Connection Type,Instrument Power Feed Location,Instrument Type,Instrument Wire Count,Instrument Analog/Digital,Instrument Mount Detail,Panels,Panels Voltage,Panels Amps,Panels Power Feed Location,Panel Type,Permits,Permit Number,Permit Description,Permit Title,Permit Permitting Body,Permit Plant Area,Permit Revision Number,Permit Expiry,Packages,Package Voltage,Package Amps,Package Power,Package Power Feed Location,*Any Custom Fields*,Notes,Unspc Code,Barcode,Facility Latitude,Facility Longitude,Facility Street Address,Facility City,Facility Postal Code,Facility Province,Facility Country,User/User Group name/Personnel Code,Calibration Needed,Aisle,Row,Bin,Low-level asset codes
Digester Digestate,C2NC-1300-DG,C2NC-1300,Locations And Facilities,Digester Digestate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - 3-way - Hot - Water - 01B,C2NC-1200-HTG-EV_44201B,C2NC-1200-HTG,Valves,3-way Hot Water 3 Way Valve,,,,,,,,Y,,,,D-02,EV_44201B,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Automatic,3 Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Antifoam - 01A,C2NC-1300-100-FCV_31201,C2NC-1300-100,Valves,Antifoam Solenoid Valve,,,,,,,,Y,,,,D-08,FCV_31201,,,,,,,,,,,,,,,,,,,,,,ADA,,25DN,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Feed - 02,C2NC-1200-FD-HV_21102,C2NC-1200-FD,Valves,FCON Feed Knife Gate Valve,,,,,,,,,,,,D-01,HV_21102,,,,,,,,,,,,,,,,,,,,,,DFS,,10,,,Manual,Knife Gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 1 - Service - Water - 01A,C2NC-1300-100-FCV_41201A,C2NC-1300-100,Valves,Service Water Solenoid Valve,,,,,,,,Y,,,,D-04,FCV_41201A,,,,,,,,,,,,,,,,,,,,,,SW,,0.5,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Nutrient - Dosing - 03A,C2NC-1200-HTG-CV_31103A,C2NC-1200-HTG,Valves,Nutrient Dosing Check Valve,,,,,,,,,,,,D-02,CV_31103A,,,,,,,,,,,,,,,,,,,,,,ADA,,1,,,Manual,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Nutrient - Dosing - 03B,C2NC-1200-HTG-CV_31103B,C2NC-1200-HTG,Valves,Nutrient Dosing Check Valve,,,,,,,,,,,,D-02,CV_31103B,,,,,,,,,,,,,,,,,,,,,,ADA,,1,,,Manual,Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 2 - Antifoam - 02,C2NC-1300-200-FCV_31202,C2NC-1300-200,Valves,Antifoam Solenoid Valve,,,,,,,,Y,,,,D-05,FCV_31202,,,,,,,,,,,,,,,,,,,,,,CH,,1,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 2 - Service - Water - 01B,C2NC-1300-200-FCV_41201B,C2NC-1300-200,Valves,Service Water Solenoid Valve,,,,,,,,Y,,,,D-05,FCV_41201B,,,,,,,,,,,,,,,,,,,,,,SW,,0.5,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Nutrient - Isolation - 03A,C2NC-1200-HTG-HV_31103A,C2NC-1200-HTG,Valves,Nutrient Isolation Ball Valve,,,,,,,,,,,,D-02,HV_31103A,,,,,,,,,,,,,,,,,,,,,,ADA,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Nutrient - Isolation - 03B,C2NC-1200-HTG-HV_31103B,C2NC-1200-HTG,Valves,Nutrient Isolation Ball Valve,,,,,,,,,,,,D-02,HV_31103B,,,,,,,,,,,,,,,,,,,,,,ADA,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - Pump - 1 - 01A,C2NC-1200-HTG-HV_44201A,C2NC-1200-HTG,Valves,FCON HX Pump 1 Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44201A,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,10,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - Pump - 2 - 01B,C2NC-1200-HTG-HV_44201B,C2NC-1200-HTG,Valves,FCON HX Pump 2 Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44201B,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,10,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 02A,C2NC-1200-HTG-HV_44202A,C2NC-1200-HTG,Valves,Drain Valve Eccentric Plug Valve,,,,,,,,,,,,D-02,HV_44202A,,,,,,,,,,,,,,,,,,,,,,DFS,,2,,,Manual,Eccentric Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 02B,C2NC-1200-HTG-HV_44202B,C2NC-1200-HTG,Valves,Drain Valve Eccentric Plug Valve,,,,,,,,,,,,D-02,HV_44202B,,,,,,,,,,,,,,,,,,,,,,DFS,,2,,,Manual,Eccentric Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HW - Pump - 3 - 05A,C2NC-1200-HTG-HV_44205A,C2NC-1200-HTG,Valves,HW Pump 3 Butterfly Valve,,,,,,,,,,,,D-02,HV_44205A,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HW - Pump - 4 - 05B,C2NC-1200-HTG-HV_44205B,C2NC-1200-HTG,Valves,HW Pump 4 Butterfly Valve,,,,,,,,,,,,D-02,HV_44205B,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 06A,C2NC-1200-HTG-HV_44206A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44206A,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 06B,C2NC-1200-HTG-HV_44206B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44206B,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 11A,C2NC-1200-HTG-HV_44211A,C2NC-1200-HTG,Valves,Drain Valve Eccentric Plug Valve,,,,,,,,,,,,D-02,HV_44211A,,,,,,,,,,,,,,,,,,,,,,DFS,,2,,,Manual,Eccentric Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 11B,C2NC-1200-HTG-HV_44211B,C2NC-1200-HTG,Valves,Drain Valve Eccentric Plug Valve,,,,,,,,,,,,D-02,HV_44211B,,,,,,,,,,,,,,,,,,,,,,DFS,,2,,,Manual,Eccentric Plug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 12A,C2NC-1200-HTG-HV_44212A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44212A,,,,,,,,,,,,,,,,,,,,,,DFS,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 12B,C2NC-1200-HTG-HV_44212B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44212B,,,,,,,,,,,,,,,,,,,,,,DFS,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 13A,C2NC-1200-HTG-HV_44213A,C2NC-1200-HTG,Valves,HX isolation Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44213A,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,8,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 13B,C2NC-1200-HTG-HV_44213B,C2NC-1200-HTG,Valves,HX isolation Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44213B,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,8,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Boiler - Return - Isolation - 15A,C2NC-1200-HTG-HV_44215A,C2NC-1200-HTG,Valves,Boiler Return Isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44215A,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Boiler - Return - Isolation - 15B,C2NC-1200-HTG-HV_44215B,C2NC-1200-HTG,Valves,Boiler Return Isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44215B,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 16A,C2NC-1200-HTG-HV_44216A,C2NC-1200-HTG,Valves,HX isolation Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44216A,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,8,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 16B,C2NC-1200-HTG-HV_44216B,C2NC-1200-HTG,Valves,HX isolation Knife Gate Valve,Orbinox,BT Series 22,,,,,,,,,,D-02,HV_44216B,,,,,,,,,,,,,,,,,,,,,,DFS,CF8M,8,,,Manual,Knife Gate,,ANSI Flange,EPDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 17A,C2NC-1200-HTG-HV_44217A,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44217A,,,,,,,,,,,,,,,,,,,,,,DFS,,4,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 17B,C2NC-1200-HTG-HV_44217B,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44217B,,,,,,,,,,,,,,,,,,,,,,DFS,,4,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 18A,C2NC-1200-HTG-HV_44218A,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44218A,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 18B,C2NC-1200-HTG-HV_44218B,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44218B,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 19A,C2NC-1200-HTG-HV_44219A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44219A,,,,,,,,,,,,,,,,,,,,,,HW,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 19B,C2NC-1200-HTG-HV_44219B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44219B,,,,,,,,,,,,,,,,,,,,,,HW,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 20A,C2NC-1200-HTG-HV_44220A,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44220A,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - HX - isolation - 20B,C2NC-1200-HTG-HV_44220B,C2NC-1200-HTG,Valves,HX isolation Butterfly Valve,,,,,,,,,,,,D-02,HV_44220B,,,,,,,,,,,,,,,,,,,,,,HW,,6,,,Manual,Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 21A,C2NC-1200-HTG-HV_44221A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44221A,,,,,,,,,,,,,,,,,,,,,,HW,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 21B,C2NC-1200-HTG-HV_44221B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44221B,,,,,,,,,,,,,,,,,,,,,,HW,,1,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 22A,C2NC-1200-HTG-HV_44222A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44222A,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 22B,C2NC-1200-HTG-HV_44222B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44222B,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 23A,C2NC-1200-HTG-HV_44223A,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44223A,,,,,,,,,,,,,,,,,,,,,,DFS,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Drain - Valve - 23B,C2NC-1200-HTG-HV_44223B,C2NC-1200-HTG,Valves,Drain Valve Ball Valve,,,,,,,,,,,,D-02,HV_44223B,,,,,,,,,,,,,,,,,,,,,,DFS,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 24A,C2NC-1200-HTG-HV_44224A,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44224A,,,,,,,,,,,,,,,,,,,,,,DFS,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 24B,C2NC-1200-HTG-HV_44224B,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44224B,,,,,,,,,,,,,,,,,,,,,,DFS,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 25A,C2NC-1200-HTG-HV_44225A,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44225A,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 25B,C2NC-1200-HTG-HV_44225B,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44225B,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 26A,C2NC-1200-HTG-HV_44226A,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44226A,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Heating - Instrument - Isolation - 26B,C2NC-1200-HTG-HV_44226B,C2NC-1200-HTG,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,D-02,HV_44226B,,,,,,,,,,,,,,,,,,,,,,HW,,,,,Manual,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 3 - Antifoam - 03,C2NC-1300-300-FCV_31203,C2NC-1300-300,Valves,Antifoam Solenoid Valve,,,,,,,,Y,,,,D-06,FCV_31203,,,,,,,,,,,,,,,,,,,,,,CH,,1,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digester - 3 - Service - Water - 01C,C2NC-1300-300-FCV_41201C,C2NC-1300-300,Valves,Service Water Solenoid Valve,,,,,,,,Y,,,,D-06,FCV_41201C,,,,,,,,,,,,,,,,,,,,,,SW,,0.5,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Hydroxide - Solenoid Valve - 01,C2NC-1300-CHEM-FCV_31101,C2NC-1300-CHEM,Valves, Solenoid Valve,,,,,,,,Y,,,,D-08,FCV_31101,,,,,,,,,,,,,,,,,,,,,,ADA,,25DN,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Hydroxide - Solenoid Valve - 02,C2NC-1300-CHEM-FCV_31102,C2NC-1300-CHEM,Valves, Solenoid Valve,,,,,,,,Y,,,,D-08,FCV_31102,,,,,,,,,,,,,,,,,,,,,,ADA,,25DN,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Hydroxide - Solenoid Valve - 03,C2NC-1300-CHEM-FCV_31103,C2NC-1300-CHEM,Valves, Solenoid Valve,,,,,,,,Y,,,,D-08,FCV_31103,,,,,,,,,,,,,,,,,,,,,,ADA,,25DN,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Hydroxide - Solenoid Valve - 04,C2NC-1300-CHEM-FCV_31104,C2NC-1300-CHEM,Valves, Solenoid Valve,,,,,,,,Y,,,,D-08,FCV_31104,,,,,,,,,,,,,,,,,,,,,,ADA,,25DN,,,Automatic,Solenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCON - Instrument - Isolation - 01A,C2NC-1200-050-HV_21101A,C2NC-1200-050,Valves,Instrument Isolation Ball Valve,,,,,,,,,,,,,HV_21101A,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
